"election_dt"	"contest_name"	"name_on_ballot"	"party_cd"	"ballot_count"	"FTP_Date"
"11/07/2006"	"NC STATE HOUSE DISTRICT 010"	"Willie Ray Starling"	"REP"	6296	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 100"	"James B. (Jim) Black"	"DEM"	5340	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 100"	"Hal Jordan"	"REP"	5310	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 101"	"Beverly Miller Earle"	"DEM"	8535	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 102"	"Becky Carney"	"DEM"	7994	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 103"	"Everette A. Passaly"	"DEM"	6738	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 103"	"Jim Gulley"	"REP"	9267	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 104"	"Paula McSwain"	"DEM"	7215	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 104"	"Ruth Samuelson"	"REP"	14668	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 105"	"Ric Killian"	"REP"	15343	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 106"	"Martha Alexander"	"DEM"	8571	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 107"	"W. Pete Cunningham"	"DEM"	7826	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 108"	"Marvin E. (Eddie) Wyatt, Jr."	"DEM"	6009	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 108"	"Wil Neumann"	"REP"	8653	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 109"	"William A. Current"	"REP"	9047	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 011"	"Ronnie Griffin"	"DEM"	4749	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 011"	"Louis M. Pate, Jr."	"REP"	9016	"12/08/2006"
