,year,chamber,district_number,winner,DEM,REP,LIB,CST,GRE,UNA,REP_wasted,DEM_wasted,wasted,dem_percent
68,2002-01-01,house,52,REP,0.0,14477.0,2442.0,0.0,0.0,0.0,14476.0,0.0,14476.0,0.0
69,2002-01-01,house,53,REP,5987.0,9672.0,0.0,0.0,0.0,0.0,3684.0,5987.0,9671.0,0.3823360367839581
70,2002-01-01,house,54,DEM,18508.0,0.0,2957.0,0.0,0.0,0.0,0.0,18507.0,18507.0,1.0
71,2002-01-01,house,55,DEM,11712.0,9427.0,0.0,0.0,0.0,0.0,9427.0,2284.0,11711.0,0.5540470220918681
72,2002-01-01,house,56,DEM,15805.0,0.0,3957.0,0.0,0.0,0.0,0.0,15804.0,15804.0,1.0
73,2002-01-01,house,57,REP,0.0,20388.0,3766.0,0.0,0.0,0.0,20387.0,0.0,20387.0,0.0
74,2002-01-01,house,58,DEM,14054.0,0.0,2320.0,0.0,0.0,0.0,0.0,14053.0,14053.0,1.0
75,2002-01-01,house,59,DEM,12175.0,9553.0,656.0,0.0,0.0,0.0,9553.0,2621.0,12174.0,0.5603368924889544
76,2002-01-01,house,6,DEM,11287.0,9648.0,0.0,0.0,0.0,0.0,9648.0,1638.0,11286.0,0.5391449725340339
77,2002-01-01,house,60,DEM,11131.0,0.0,2151.0,0.0,0.0,0.0,0.0,11130.0,11130.0,1.0
78,2002-01-01,house,61,REP,0.0,16769.0,4415.0,0.0,0.0,0.0,16768.0,0.0,16768.0,0.0
79,2002-01-01,house,62,REP,7983.0,13060.0,0.0,0.0,0.0,0.0,5076.0,7983.0,13059.0,0.3793660599724374
80,2002-01-01,house,63,DEM,7914.0,7817.0,0.0,0.0,0.0,0.0,7817.0,96.0,7913.0,0.5030830843557307
81,2002-01-01,house,64,REP,0.0,13901.0,0.0,0.0,0.0,0.0,13900.0,0.0,13900.0,0.0
82,2002-01-01,house,65,DEM,13465.0,0.0,0.0,0.0,0.0,0.0,0.0,13464.0,13464.0,1.0
83,2002-01-01,house,66,REP,0.0,14180.0,0.0,0.0,0.0,0.0,14179.0,0.0,14179.0,0.0
84,2002-01-01,house,67,REP,4902.0,10481.0,0.0,0.0,0.0,0.0,5578.0,4902.0,10480.0,0.31866345966326465
85,2002-01-01,house,68,DEM,10393.0,7833.0,381.0,0.0,0.0,0.0,7833.0,2559.0,10392.0,0.5702293426972457
86,2002-01-01,house,69,DEM,11749.0,6064.0,332.0,0.0,0.0,0.0,6064.0,5684.0,11748.0,0.6595744680851063
87,2002-01-01,house,7,DEM,11941.0,0.0,0.0,0.0,0.0,0.0,0.0,11940.0,11940.0,1.0
88,2002-01-01,house,70,REP,8751.0,8993.0,0.0,0.0,0.0,0.0,241.0,8751.0,8992.0,0.4931807935076646
89,2002-01-01,house,71,DEM,9662.0,4571.0,382.0,0.0,0.0,0.0,4571.0,5090.0,9661.0,0.6788449378205579
90,2002-01-01,house,72,DEM,8183.0,6754.0,0.0,0.0,0.0,0.0,6754.0,1428.0,8182.0,0.5478342371292763
91,2002-01-01,house,73,REP,0.0,17477.0,0.0,0.0,0.0,0.0,17476.0,0.0,17476.0,0.0
92,2002-01-01,house,74,REP,6243.0,12835.0,596.0,0.0,0.0,0.0,6591.0,6243.0,12834.0,0.3272355592829437
93,2002-01-01,house,75,REP,7747.0,11289.0,0.0,0.0,0.0,0.0,3541.0,7747.0,11288.0,0.40696574910695527
94,2002-01-01,house,76,REP,0.0,14703.0,0.0,0.0,0.0,0.0,14702.0,0.0,14702.0,0.0
95,2002-01-01,house,77,DEM,9886.0,8081.0,0.0,0.0,0.0,0.0,8081.0,1804.0,9885.0,0.5502309790170868
96,2002-01-01,house,78,REP,0.0,13059.0,1332.0,0.0,0.0,0.0,13058.0,0.0,13058.0,0.0
97,2002-01-01,house,79,REP,0.0,15412.0,2364.0,0.0,0.0,0.0,15411.0,0.0,15411.0,0.0
98,2002-01-01,house,8,DEM,11809.0,0.0,0.0,0.0,0.0,0.0,0.0,11808.0,11808.0,1.0
99,2002-01-01,house,80,REP,0.0,15662.0,0.0,0.0,0.0,0.0,15661.0,0.0,15661.0,0.0
100,2002-01-01,house,81,DEM,9074.0,7540.0,442.0,0.0,0.0,0.0,7540.0,1533.0,9073.0,0.5461658841940532
101,2002-01-01,house,82,REP,9056.0,13989.0,937.0,0.0,0.0,0.0,4932.0,9056.0,13988.0,0.3929702755478412
102,2002-01-01,house,83,REP,6472.0,12976.0,646.0,0.0,0.0,0.0,6503.0,6472.0,12975.0,0.3327848621966269
